admissionNumber,amount,amountPaid,term,academicYear,dueDate,paymentStatus
3055,33160,17610,Term 1,2024/2025,2024-04-14,partial
3056,31666,0,Term 1,2024/2025,2024-02-14,pending
3057,35632,35632,Term 1,2024/2025,2024-02-29,paid
3058,36528,0,Term 1,2024/2025,2024-03-21,pending
3059,31912,31912,Term 1,2024/2025,2024-06-05,paid
3060,39953,39953,Term 1,2024/2025,2024-05-28,paid
3061,36647,0,Term 1,2024/2025,2024-02-26,pending
3062,34424,16647,Term 1,2024/2025,2024-04-08,partial
3063,40429,40429,Term 1,2024/2025,2024-05-10,paid
3064,35808,0,Term 1,2024/2025,2024-04-07,pending
3065,32258,32258,Term 1,2024/2025,2024-04-26,paid
3066,36949,19261,Term 1,2024/2025,2024-05-10,partial
3067,38752,22209,Term 1,2024/2025,2024-02-06,partial
3068,36134,36134,Term 1,2024/2025,2024-04-18,paid
3069,37522,17869,Term 1,2024/2025,2024-03-30,partial
3070,35370,35370,Term 1,2024/2025,2024-06-01,paid
3071,36468,36468,Term 1,2024/2025,2024-05-03,paid
3072,40242,18275,Term 1,2024/2025,2024-06-08,partial
3073,33379,33379,Term 1,2024/2025,2024-03-14,paid
3074,34407,17104,Term 1,2024/2025,2024-05-12,partial
3075,33283,33283,Term 1,2024/2025,2024-05-09,paid
3076,41392,41392,Term 1,2024/2025,2024-02-06,paid
3077,34723,28321,Term 1,2024/2025,2024-04-13,partial
3078,36595,36595,Term 1,2024/2025,2024-04-15,paid
3079,35236,0,Term 1,2024/2025,2024-03-29,pending
