admissionNumber,amount,amountPaid,term,academicYear,dueDate,paymentStatus
3000,40031,40031,Term 1,2024/2025,2024-05-23,paid
3001,42667,25277,Term 1,2024/2025,2024-04-23,partial
3002,39431,15587,Term 1,2024/2025,2024-03-07,partial
3003,41860,41860,Term 1,2024/2025,2024-04-27,paid
3004,42132,42132,Term 1,2024/2025,2024-04-26,paid
3005,46274,26449,Term 1,2024/2025,2024-05-20,partial
3006,42559,19235,Term 1,2024/2025,2024-03-31,partial
3007,36224,26713,Term 1,2024/2025,2024-04-12,partial
3008,37112,37112,Term 1,2024/2025,2024-03-23,paid
3009,41930,28550,Term 1,2024/2025,2024-06-18,partial
3010,39682,39682,Term 1,2024/2025,2024-05-13,paid
3011,46924,46924,Term 1,2024/2025,2024-04-19,paid
3012,39156,39156,Term 1,2024/2025,2024-03-14,paid
3013,42479,34977,Term 1,2024/2025,2024-05-25,partial
3014,43447,17666,Term 1,2024/2025,2024-05-17,partial
3015,43759,31233,Term 1,2024/2025,2024-07-14,partial
3016,42364,42364,Term 1,2024/2025,2024-05-30,paid
3017,43792,26440,Term 1,2024/2025,2024-06-18,partial
3018,36300,23515,Term 1,2024/2025,2024-07-05,partial
3019,39056,39056,Term 1,2024/2025,2024-01-24,paid
3020,40367,29752,Term 1,2024/2025,2024-06-26,partial
3021,43609,0,Term 1,2024/2025,2024-05-18,pending
3022,39499,0,Term 1,2024/2025,2024-03-21,pending
3023,45069,32810,Term 1,2024/2025,2024-06-02,partial
3024,45061,14050,Term 1,2024/2025,2024-07-20,partial
3025,40570,40570,Term 1,2024/2025,2024-05-17,paid
3026,37436,37436,Term 1,2024/2025,2024-06-06,paid
3027,40485,40485,Term 1,2024/2025,2024-05-23,paid
3028,38005,38005,Term 1,2024/2025,2024-05-07,paid
3029,43242,19735,Term 1,2024/2025,2024-05-09,partial
