admissionNumber,amount,amountPaid,term,academicYear,dueDate,paymentStatus
3080,32691,32691,Term 1,2024/2025,2024-06-18,paid
3081,33862,27359,Term 1,2024/2025,2024-04-29,partial
3082,31158,12505,Term 1,2024/2025,2024-05-14,partial
3083,35175,35175,Term 1,2024/2025,2024-07-01,paid
3084,30716,0,Term 1,2024/2025,2024-04-07,pending
3085,34259,34259,Term 1,2024/2025,2024-02-18,paid
3086,37776,0,Term 1,2024/2025,2024-02-17,pending
3087,31957,23061,Term 1,2024/2025,2024-04-01,partial
3088,36130,36130,Term 1,2024/2025,2024-07-19,paid
3089,34055,28802,Term 1,2024/2025,2024-05-21,partial
3090,31687,31687,Term 1,2024/2025,2024-05-23,paid
3091,30714,26572,Term 1,2024/2025,2024-06-07,partial
3092,36642,0,Term 1,2024/2025,2024-04-10,pending
3093,37012,37012,Term 1,2024/2025,2024-04-28,paid
3094,36909,36909,Term 1,2024/2025,2024-05-13,paid
3095,32183,0,Term 1,2024/2025,2024-07-02,pending
3096,40310,40310,Term 1,2024/2025,2024-04-14,paid
3097,35645,12604,Term 1,2024/2025,2024-05-24,partial
3098,32158,32158,Term 1,2024/2025,2024-05-13,paid
3099,32424,23021,Term 1,2024/2025,2024-03-08,partial
